,authors,author_full_name,title,journal,language,document_type,keywords,year,vol,issue,doi,authors_l,authors_full_l,title_l,journal_l,keywords_l
350,"Thelwall, M","Thelwall, Mike",Interpreting correlations between citation counts and other indicators,SCIENTOMETRICS,English,Article,Citation analysis; Correlation; Altmetrics; Indicators; Discretised lognormal; Simulation,2016,108,1,10.1007/s11192-016-1973-7,m thelwall,mike thelwall,interpreting correlations between citation counts other indicators,scientometrics,"altmetrics, citation analysis, correlation, discretised lognormal, indicators, simulation"
352,"Abrizah, A; Nicholas, D; Noorhidawati, A; Yanti, MK; Aspura, I; Badawi, F","Abrizah, Abdullah; Nicholas, David; Noorhidawati, Abdullah; Yanti, M. K.; Aspura, Idaya; Badawi, Fathiah",Not so different after all: Malaysian researchers' cross-discipline view of quality and trustworthiness in citation practices,LEARNED PUBLISHING,English,Article,,2016,29,3,10.1002/leap.1032,"a abrizah, d nicholas, a noorhidawati, mk yanti, i aspura, f badawi","abdullah abrizah, david nicholas, abdullah noorhidawati, m. k. yanti, idaya aspura, fathiah badawi",not so different after all malaysian researchers cross discipline view quality trustworthiness in citation practices,learned publishing,
353,"Heuvel, JPV; Bullenkamp, J","Heuvel, John P. Vanden; Bullenkamp, Jessica",Registered report: Systematic identification of genomic markers of drug sensitivity in cancer cells,ELIFE,English,Article,,2016,5,0,10.7554/elife.13620,"jpv heuvel, j bullenkamp","john p. vanden heuvel, jessica bullenkamp",registered report systematic identification genomic markers drug sensitivity in cancer cells,elife,
354,"Jabur, NH","Jabur, Naeema H.",Altmetrics as alternative tool for measuring the impact of scholarly documents based on readers attention: A Comparative Study,QUALITATIVE & QUANTITATIVE METHODS IN LIBRARIES,English,Article,,2016,0,0,,nh jabur,naeema h. jabur,altmetrics as alternative tool for measuring impact scholarly documents based on readers attention a comparative study,qualitative quantitative methods in libraries,
355,"Tenopir, C; Christian, L; Anderson, R; Estelle, L; Allard, S; Nicholas, D","Tenopir, Carol; Christian, Lisa; Anderson, Robert; Estelle, Lorraine; Allard, Suzie; Nicholas, Dave",Beyond the Download: Issues in Developing a Secondary Usage Calculator,QUALITATIVE & QUANTITATIVE METHODS IN LIBRARIES,English,Article,scholarly communication; usage studies; secondary usage; user behaviour; calculator,2016,0,0,,"c tenopir, l christian, r anderson, l estelle, s allard, d nicholas","carol tenopir, lisa christian, robert anderson, lorraine estelle, suzie allard, dave nicholas",beyond download issues in developing a secondary usage calculator,qualitative quantitative methods in libraries,"calculator, scholarly communication, secondary usage, usage studies, user behaviour"
356,"Miro, O; Fernandez-Guerrero, IM; de Dios, JG","Miro, Oscar; Maria Fernandez-Guerrero, Ines; Gonzalez de Dios, Javier",Presence and relevance of the scientific journals published in Spanish included in Journal Citation Reports,PANACEA-BOLETIN DE MEDICINA Y TRADUCCION,Spanish,Article,Hispanic-American scientific journals; Journal Citation Reports; publishing language; quality indicators; Spanish language,2016,17,43,,"o miro, im fernandez-guerrero, jg de dios","oscar miro, ines maria fernandez-guerrero, javier gonzalez de dios",presence relevance scientific journals published in spanish included in journal citation reports,panacea boletin de medicina y traduccion,"hispanic-american scientific journals, journal citation reports, publishing language, quality indicators, spanish language"
357,"Kolahi, J; Khazaei, S","Kolahi, J.; Khazaei, S.",Altmetric: Top 50 dental articles in 2014,BRITISH DENTAL JOURNAL,English,Article,,2016,220,11,10.1038/sj.bdj.2016.411,"j kolahi, s khazaei","j. kolahi, s. khazaei",altmetric top 50 dental articles in 2014,british dental journal,
358,"Fernandez-Guerrero, IM; Santos, PB; Martin-Sanchez, FJ; Hidalgo-Rodriguez, A; de las Mercedes Leal-Lobato, M; Rivilla-Doce, C; Julian-Jimenez, A; Burillo-Putze, G; Miro, O","Fernandez-Guerrero, Ines M.; Burbano Santos, Pablo; Martin-Sanchez, Francisco Javier; Hidalgo-Rodriguez, Abraham; de las Mercedes Leal-Lobato, Maria; Rivilla-Doce, Celia; Julian-Jimenez, Agustin; Burillo-Putze, Guillermo; Miro, Oscar",Productivity of Spanish emergency physicians: comparison of the 5-year periods 2010-2014 and 2005-2009,EMERGENCIAS,Spanish,Article,Bibliometrics; Research; Emergency medicine; Hospital emergency health services; Emergency medical services,2016,28,3,,"im fernandez-guerrero, pb santos, fj martin-sanchez, a hidalgo-rodriguez, m de las mercedes leal-lobato, c rivilla-doce, a julian-jimenez, g burillo-putze, o miro","ines m. fernandez-guerrero, pablo burbano santos, francisco javier martin-sanchez, abraham hidalgo-rodriguez, maria de las mercedes leal-lobato, celia rivilla-doce, agustin julian-jimenez, guillermo burillo-putze, oscar miro",productivity spanish emergency physicians comparison 5 year periods 2010 2014 2005 2009,emergencias,"bibliometrics, emergency medical services, emergency medicine, hospital emergency health services, research"
359,"Poplasen, LM; Grgic, IH","Poplasen, Lovela Machala; Grgic, Ivana Hebrang",Altmetric and Bibliometric Scores: Does Open Access Matter?,QUALITATIVE & QUANTITATIVE METHODS IN LIBRARIES,English,Article,altmetrics; bibliometrics; citation advantage; Open Access; social networking sites,2016,0,0,,"lm poplasen, ih grgic","lovela machala poplasen, ivana hebrang grgic",altmetric bibliometric scores does open access matter,qualitative quantitative methods in libraries,"altmetrics, bibliometrics, citation advantage, open access, social networking sites"
360,"Bornmann, L; Haunschild, R","Bornmann, Lutz; Haunschild, Robin",How to normalize Twitter counts? A first attempt based on journals in the Twitter Index,SCIENTOMETRICS,English,Article,Twitter counts; Twitter percentiles; Twitter Index; Altmetrics,2016,107,3,10.1007/s11192-016-1893-6,"l bornmann, r haunschild","lutz bornmann, robin haunschild",how to normalize twitter counts a first attempt based on journals in twitter index,scientometrics,"altmetrics, twitter counts, twitter index, twitter percentiles"
361,"Fox, CS; Gurary, EB; Ryan, J; Bonaca, M; Barry, K; Loscalzo, J; Massaro, J","Fox, Caroline S.; Gurary, Ellen B.; Ryan, John; Bonaca, Marc; Barry, Karen; Loscalzo, Joseph; Massaro, Joseph",Randomized Controlled Trial of Social Media: Effect of Increased Intensity of the Intervention,JOURNAL OF THE AMERICAN HEART ASSOCIATION,English,Article,altmetrics; randomized control trial; social media,2016,5,5,10.1161/jaha.115.003088,"cs fox, eb gurary, j ryan, m bonaca, k barry, j loscalzo, j massaro","caroline s. fox, ellen b. gurary, john ryan, marc bonaca, karen barry, joseph loscalzo, joseph massaro",randomized controlled trial social media effect increased intensity intervention,journal of the american heart association,"altmetrics, randomized control trial, social media"
362,"Orduna-Malea, E; Martin-Martin, A; Delgado-Lopez-Cozar, E","Orduna-Malea, Enrique; Martin-Martin, Alberto; Delgado-Lopez-Cozar, Emilio",THE NEXT BIBLIOMETRICS: ALMETRICS (AUTHOR LEVEL METRICS) AND THE MULTIPLE FACES OF AUTHOR IMPACT,PROFESIONAL DE LA INFORMACION,English,Article,ALMetrics; Author-level metrics; Altmetrics; Scientific evaluation; Social academic networks; Bibliometrics,2016,25,3,10.3145/epi.2016.may.18,"e orduna-malea, a martin-martin, e delgado-lopez-cozar","enrique orduna-malea, alberto martin-martin, emilio delgado-lopez-cozar",next bibliometrics almetrics author level metrics multiple faces author impact,profesional de la informacion,"almetrics, altmetrics, author-level metrics, bibliometrics, scientific evaluation, social academic networks"
364,"Mohammadi, E; Thelwall, M; Kousha, K","Mohammadi, Ehsan; Thelwall, Mike; Kousha, Kayvan",Can Mendeley bookmarks reflect readership? A survey of user motivations,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,webometrics; bibliometrics; surveys,2016,67,5,10.1002/asi.23477,"e mohammadi, m thelwall, k kousha","ehsan mohammadi, mike thelwall, kayvan kousha",can mendeley bookmarks reflect readership a survey user motivations,journal of the association for information science and technology,"bibliometrics, surveys, webometrics"
365,"Castella, CO; Lopez-Borrull, A; Abadal, E","Olle Castella, Candela; Lopez-Borrull, Alexandre; Abadal, Ernest",The challenges facing library and information science journals: Editors' opinions,LEARNED PUBLISHING,English,Article,,2016,29,2,10.1002/leap.1016,"co castella, a lopez-borrull, e abadal","candela olle castella, alexandre lopez-borrull, ernest abadal",challenges facing library information science journals editors opinions,learned publishing,
366,"Grass, RN; Stark, WJ","Grass, Robert N.; Stark, Wendelin J.",The dissipation rate of news in online mass media evaluated by chemical engineering and process control tools,AICHE JOURNAL,English,Article,Altmetrics; design; linear system analysis; reactor analysis; social media; timescale analysis; tracer experiment,2016,62,4,10.1002/aic.15103,"rn grass, wj stark","robert n. grass, wendelin j. stark",dissipation rate news in online mass media evaluated by chemical engineering process control tools,aiche journal,"altmetrics, design, linear system analysis, reactor analysis, social media, timescale analysis, tracer experiment"
367,"Thelwall, M; Maflahi, N","Thelwall, Mike; Maflahi, Nabeil",Guideline references and academic citations as evidence of the clinical value of health research,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,scientometrics,2016,67,4,10.1002/asi.23432,"m thelwall, n maflahi","mike thelwall, nabeil maflahi",guideline references academic citations as evidence clinical value health research,journal of the association for information science and technology,scientometrics
368,"Hoffmann, CP; Lutz, C; Meckel, M","Hoffmann, Christian Pieter; Lutz, Christoph; Meckel, Miriam",A relational altmetric? Network centrality on ResearchGate as an indicator of scientific impact,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,evaluation; scientists; network analysis,2016,67,4,10.1002/asi.23423,"cp hoffmann, c lutz, m meckel","christian pieter hoffmann, christoph lutz, miriam meckel",a relational altmetric network centrality on researchgate as an indicator scientific impact,journal of the association for information science and technology,"evaluation, network analysis, scientists"
369,"Sharma, V; Young, L; Cavadas, M; Owen, K","Sharma, Vidhu; Young, Lisa; Cavadas, Miguel; Owen, Kate",Registered Report: COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,ELIFE,English,Article,,2016,5,0,10.7554/elife.11414,"v sharma, l young, m cavadas, k owen","vidhu sharma, lisa young, miguel cavadas, kate owen",registered report cot drives resistance to raf inhibition through map kinase pathway reactivation,elife,
370,"Richarson, AD; Scott, DA; Zagnitko, O; Aza-Blanc, P; Chang, CC; Russler-Germain, DA","Richarson, Adam D.; Scott, David A.; Zagnitko, Olga; Aza-Blanc, Pedro; Chang, Chih-Cheng; Russler-Germain, David A.",Registered report: IDH mutation impairs histone demethylation and results in a block to cell differentiation,ELIFE,English,Article,,2016,5,0,10.7554/elife.10860,"ad richarson, da scott, o zagnitko, p aza-blanc, cc chang, da russler-germain","adam d. richarson, david a. scott, olga zagnitko, pedro aza-blanc, chih-cheng chang, david a. russler-germain",registered report idh mutation impairs histone demethylation results in a block to cell differentiation,elife,
371,"Orduna-Malea, E; Martin-Martin, A; Lopez-Cozar, ED","Orduna-Malea, Enrique; Martin-Martin, Alberto; Delgado Lopez-Cozar, Emilio",ResearchGate as a source for scientific evaluation: revealing its bibliometric applications,PROFESIONAL DE LA INFORMACION,Spanish,Article,ResearchGate; Academic social networks; Bibliometric indicators; Altmetric indicators; Scientific evaluation,2016,25,2,10.3145/epi.2016.mar.18,"e orduna-malea, a martin-martin, ed lopez-cozar","enrique orduna-malea, alberto martin-martin, emilio delgado lopez-cozar",researchgate as a source for scientific evaluation revealing its bibliometric applications,profesional de la informacion,"academic social networks, altmetric indicators, bibliometric indicators, researchgate, scientific evaluation"
372,"Barbic, D; Tubman, M; Lam, H; Barbic, S","Barbic, David; Tubman, Michelle; Lam, Henry; Barbic, Skye",An Analysis of Altmetrics in Emergency Medicine,ACADEMIC EMERGENCY MEDICINE,English,Article,,2016,23,3,10.1111/acem.12898,"d barbic, m tubman, h lam, s barbic","david barbic, michelle tubman, henry lam, skye barbic",an analysis altmetrics in emergency medicine,academic emergency medicine,
373,"Phelps, M; Coss, C; Wang, HY; Cook, M","Phelps, Mitch; Coss, Chris; Wang, Hongyan; Cook, Matthew",Registered report: Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,ELIFE,English,Article,,2016,5,0,10.7554/elife.12470,"m phelps, c coss, hy wang, m cook","mitch phelps, chris coss, hongyan wang, matthew cook",registered report coding independent regulation tumor suppressor pten by competing endogenous mrnas,elife,
374,"Fiehn, O; Showalter, MR; Schaner-Tooley, CE","Fiehn, Oliver; Showalter, Megan Reed; Schaner-Tooley, Christine E.",Registered report: The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,ELIFE,English,Article,,2016,5,0,10.7554/elife.12626,"o fiehn, mr showalter, ce schaner-tooley","oliver fiehn, megan reed showalter, christine e. schaner-tooley",registered report common feature leukemia associated idh1 idh2 mutations is a neomorphic enzyme activity converting alpha ketoglutarate to 2 hydroxyglutarate,elife,
375,"Haven, B; Heilig, E; Donham, C; Settles, M; Vasilevsky, N; Owen, K","Haven, Babette; Heilig, Elysia; Donham, Cristine; Settles, Michael; Vasilevsky, Nicole; Owen, Katherine",Registered report: A chromatin-mediated reversible drug-tolerant state in cancer cell subpopulations,ELIFE,English,Article,,2016,5,0,10.7554/elife.09462,"b haven, e heilig, c donham, m settles, n vasilevsky, k owen","babette haven, elysia heilig, cristine donham, michael settles, nicole vasilevsky, katherine owen",registered report a chromatin mediated reversible drug tolerant state in cancer cell subpopulations,elife,
376,"Sharma, V; Young, L; Allison, AB; Owen, K","Sharma, Vidhu; Young, Lisa; Allison, Anne B.; Owen, Kate",Registered report: Diverse somatic mutation patterns and pathway alterations in human cancers,ELIFE,English,Article,,2016,5,0,10.7554/elife.11566,"v sharma, l young, ab allison, k owen","vidhu sharma, lisa young, anne b. allison, kate owen",registered report diverse somatic mutation patterns pathway alterations in human cancers,elife,
377,"Bhargava, A; Anant, M; Mack, H","Bhargava, Ajay; Anant, Madan; Mack, Hildegard",Registered report: Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF,ELIFE,English,Article,,2016,5,0,10.7554/elife.11999,"a bhargava, m anant, h mack","ajay bhargava, madan anant, hildegard mack",registered report kinase dead braf oncogenic ras cooperate to drive tumor progression through craf,elife,
378,"Bhargava, A; Pelech, S; Ben Woodard,; Kerwin, J; Maherali, N","Bhargava, Ajay; Pelech, Steven; Ben Woodard; Kerwin, John; Maherali, Nimet",Registered report: RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,ELIFE,English,Article,,2016,5,0,10.7554/elife.09976,"a bhargava, s pelech,  ben woodard, j kerwin, n maherali","ajay bhargava, steven pelech, ben woodard, john kerwin, nimet maherali",registered report raf inhibitors prime wild type raf to activate mapk pathway enhance growth,elife,
379,"Repass, J; Maherali, N; Owen, K","Repass, John; Maherali, Nimet; Owen, Kate",Registered report: Fusobacterium nucleatum infection is prevalent in human colorectal carcinoma,ELIFE,English,Article,,2016,5,0,10.7554/elife.10012,"j repass, n maherali, k owen","john repass, nimet maherali, kate owen",registered report fusobacterium nucleatum infection is prevalent in human colorectal carcinoma,elife,
380,"Gorraiz, J; Melero-Fuentes, D; Gumpenberger, C; Valderrama-Zurian, JC","Gorraiz, Juan; Melero-Fuentes, David; Gumpenberger, Christian; Valderrama-Zurian, Juan-Carlos",Availability of digital object identifiers (DOIs) in Web of Science and Scopus,JOURNAL OF INFORMETRICS,English,Article,DOI; Web of Science Core Collection; Scopus; Citation databases; Visibility; Altmetrics,2016,10,1,10.1016/j.joi.2015.11.008,"j gorraiz, d melero-fuentes, c gumpenberger, jc valderrama-zurian","juan gorraiz, david melero-fuentes, christian gumpenberger, juan-carlos valderrama-zurian",availability digital object identifiers dois in web science scopus,journal of informetrics,"altmetrics, citation databases, doi, scopus, visibility, web of science core collection"
381,"Yu, MC; Wu, YCJ; Alhalabi, W; Kao, HY; Wu, WH","Yu, Min-Chu; Wu, Yen-Chun Jim; Alhalabi, Wadee; Kao, Hao-Yun; Wu, Wen-Hsiung",Research Gate: An effective altmetric indicator for active researchers?,COMPUTERS IN HUMAN BEHAVIOR,English,Article,Supply chain management; ResearchGate; Social media; SciVal; Altmetrics,2016,55,0,10.1016/j.chb.2015.11.007,"mc yu, ycj wu, w alhalabi, hy kao, wh wu","min-chu yu, yen-chun jim wu, wadee alhalabi, hao-yun kao, wen-hsiung wu",research gate an effective altmetric indicator for active researchers,computers in human behavior,"altmetrics, researchgate, scival, social media, supply chain management"
382,"Haunschild, R; Bornmann, L","Haunschild, Robin; Bornmann, Lutz",Normalization of Mendeley reader counts for impact assessment,JOURNAL OF INFORMETRICS,English,Article,Altmetrics; Mendeley; Normalization; Reader impact,2016,10,1,10.1016/j.joi.2015.11.003,"r haunschild, l bornmann","robin haunschild, lutz bornmann",normalization mendeley reader counts for impact assessment,journal of informetrics,"altmetrics, mendeley, normalization, reader impact"
383,"Lesnik, J; Antes, T; Kim, J; Griner, E; Pedro, L","Lesnik, Jake; Antes, Travis; Kim, Jeewon; Griner, Erin; Pedro, Luisa",Registered report: Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET,ELIFE,English,Article,,2016,5,0,10.7554/elife.07383,"j lesnik, t antes, j kim, e griner, l pedro","jake lesnik, travis antes, jeewon kim, erin griner, luisa pedro",registered report melanoma exosomes educate bone marrow progenitor cells toward a pro metastatic phenotype through met,elife,
384,"Alonso-Arevalo, J; Vazquez, MV","Alonso-Arevalo, Julio; Vazquez Vazquez, Marta",Altmetrics and scientific literacy,BIBLIOTECAS-ANALES DE INVESTIGACION,Spanish,Article,altmetrics; information literacy; competitions; academic libraries; research 2.0; research methodology; university libraries; scientific literacy,2016,12,1,,"j alonso-arevalo, mv vazquez","julio alonso-arevalo, marta vazquez vazquez",altmetrics scientific literacy,bibliotecas anales de investigacion,"academic libraries, altmetrics, competitions, information literacy, research 2.0, research methodology, scientific literacy, university libraries"
385,"Shaw, CE; Szwajcer, AL","Shaw, Christine E.; Szwajcer, Andrea L.",Publication rate of presentation abstracts presented at the Canadian Health Libraries Association (CHLA/ABSC) annual meetings from 2004-2009,PERFORMANCE MEASUREMENT AND METRICS,English,Article,Librarianship; Publishing; Bibliometrics; Altmetrics; Publication rate; Scholary output,2016,17,3,10.1108/pmm-07-2016-0034,"ce shaw, al szwajcer","christine e. shaw, andrea l. szwajcer",publication rate presentation abstracts presented at canadian health libraries association chla absc annual meetings from 2004 2009,performance measurement and metrics,"altmetrics, bibliometrics, librarianship, publication rate, publishing, scholary output"
386,"Shrivastava, R; Mahajan, P","Shrivastava, Rishabh; Mahajan, Preeti",Relationship between citation counts and Mendeley readership metrics A case of top 100 cited papers in Physics,NEW LIBRARY WORLD,English,Article,Scopus; Mendeley; Bibliometrics; Altmetrics; Physics; Research evaluation,2016,117,3-4,10.1108/nlw-09-2015-0064,"r shrivastava, p mahajan","rishabh shrivastava, preeti mahajan",relationship between citation counts mendeley readership metrics a case top 100 cited papers in physics,new library world,"altmetrics, bibliometrics, mendeley, physics, research evaluation, scopus"
387,"Blythe, K; Brangiel, J; Finnerty, E; Larrison, S; Rathmel, A; Webb, B; Wick, T","Blythe, Kurt; Brangiel, Jessica; Finnerty, Erin; Larrison, Stephanie; Rathmel, Angela; Webb, Breanna; Wick, Tiffanie","Reports of Conferences, Institutes, and Seminars",SERIALS REVIEW,English,Article,altmetrics; cost-per-use; demand-driven acquisitions; scholarly communications,2016,42,4,10.1080/00987913.2016.1242979,"k blythe, j brangiel, e finnerty, s larrison, a rathmel, b webb, t wick","kurt blythe, jessica brangiel, erin finnerty, stephanie larrison, angela rathmel, breanna webb, tiffanie wick",reports conferences institutes seminars,serials review,"altmetrics, cost-per-use, demand-driven acquisitions, scholarly communications"
388,"Lagace, N","Lagace, Nettie",NISO Releases Recommended Practice Covering Outputs of Its Multiyear Project in Alternative Assessment Metrics,SERIALS REVIEW,English,Article,alternative assessment metrics; altmetrics; assessment; NISO; scholarly communication; standards,2016,42,4,10.1080/00987913.2016.1246343,n lagace,nettie lagace,niso releases recommended practice covering outputs its multiyear project in alternative assessment metrics,serials review,"alternative assessment metrics, altmetrics, assessment, niso, scholarly communication, standards"
389,"Tran, C; Aytac, S","Tran, Clara; Aytac, Selenay",Measuring Scholarly Productivity of Long Island Educational Institutions: Using Web of Science and Scopus as a Tool,EVIDENCE BASED LIBRARY AND INFORMATION PRACTICE,English,Article,,2016,11,3,10.18438/b8js8p,"c tran, s aytac","clara tran, selenay aytac",measuring scholarly productivity long island educational institutions using web science scopus as a tool,evidence based library and information practice,
390,"Malone, T; Burke, S","Malone, Tara; Burke, Susan",Academic Librarians' Knowledge of Bibliometrics and Altmetrics,EVIDENCE BASED LIBRARY AND INFORMATION PRACTICE,English,Article,,2016,11,3,10.18438/b85g9j,"t malone, s burke","tara malone, susan burke",academic librarians knowledge bibliometrics altmetrics,evidence based library and information practice,
391,"Daniel, D","Daniel, Dominique",Journal Articles are the Most Widely Used Information Resource for Research and Teaching in all Academic Disciplines,EVIDENCE BASED LIBRARY AND INFORMATION PRACTICE,English,Article,,2016,11,3,10.18438/b8hs6m,d daniel,dominique daniel,journal articles are most widely used information resource for research teaching in all academic disciplines,evidence based library and information practice,
392,"Gonzalez-Fernandez-Villavicencio, N","Gonzalez-Fernandez-Villavicencio, Nieves",One metric does not tell the whole story of scientific production. I. Visibility,REVISTA ORL,Spanish,Article,information management; scientific publication; web visbility; scientific impact; metric; quality,2016,7,3,10.14201/orl201673.14444,n gonzalez-fernandez-villavicencio,nieves gonzalez-fernandez-villavicencio,one metric does not tell whole story scientific production i visibility,revista orl,"information management, metric, quality, scientific impact, scientific publication, web visbility"
393,"Gonzalez-Fernandez-Villavicencio, N","Gonzalez-Fernandez-Villavicencio, Nieves",One metric does not tell the whole story of scientific production. II. Publication,REVISTA ORL,Spanish,Article,information management; scientific publication; web visbility; scientific impact; metric; quality,2016,7,3,10.14201/orl201673.14445,n gonzalez-fernandez-villavicencio,nieves gonzalez-fernandez-villavicencio,one metric does not tell whole story scientific production ii publication,revista orl,"information management, metric, quality, scientific impact, scientific publication, web visbility"
394,"Gonzalez-Fernandez-Villavicencio, N","Gonzalez-Fernandez-Villavicencio, Nieves",One metric does not tell the whole story of scientific production. III. Management and conclusions,REVISTA ORL,Spanish,Article,information management; scientific publication; web visbility; scientific impact; metric; quality,2016,7,3,10.14201/orl201673.14446,n gonzalez-fernandez-villavicencio,nieves gonzalez-fernandez-villavicencio,one metric does not tell whole story scientific production iii management conclusions,revista orl,"information management, metric, quality, scientific impact, scientific publication, web visbility"
395,"Alonso-Arevalo, J","Alonso-Arevalo, Julio",Altmetrics can not remain a alternative for a long time,REVISTA ORL,Spanish,Article,altmetrics; research; evaluation; impact; social networking; research 2.0,2016,7,3,10.14201/orl201673.14190,j alonso-arevalo,julio alonso-arevalo,altmetrics can not remain a alternative for a long time,revista orl,"altmetrics, evaluation, impact, research, research 2.0, social networking"
396,"De Gregori, M; Scotti, V; De Silvestri, A; Curti, M; Fanelli, G; Allegri, M; Schatman, ME","De Gregori, Manuela; Scotti, Valeria; De Silvestri, Annalisa; Curti, Moreno; Fanelli, Guido; Allegri, Massimo; Schatman, Michael E.",Does a research group increase impact on the scientific community or general public discussion? Alternative metric-based evaluation,JOURNAL OF PAIN RESEARCH,English,Article,altmetrics; SIMPAR group; pain-research impact,2016,9,0,10.2147/jpr.s104704,"m de gregori, v scotti, a de silvestri, m curti, g fanelli, m allegri, me schatman","manuela de gregori, valeria scotti, annalisa de silvestri, moreno curti, guido fanelli, massimo allegri, michael e. schatman",does a research group increase impact on scientific community or general public discussion alternative metric based evaluation,journal of pain research,"altmetrics, pain-research impact, simpar group"
397,"Ryan, K","Ryan, Kevin",Academic freedom and the eye of power: the politics and poetics of open enclosures,JOURNAL OF POLITICAL POWER,English,Article,academic freedom; altmetrics; credibility metrics; panopticism; transparency,2016,9,2,10.1080/2158379x.2016.1191162,k ryan,kevin ryan,academic freedom eye power politics poetics open enclosures,journal of political power,"academic freedom, altmetrics, credibility metrics, panopticism, transparency"
398,"Arevalo, JA; Cordon-Garcia, JA; Barba, BM","Alonso Arevalo, Julio; Antonio Cordon-Garcia, Jose; Maltras Barba, Bruno",Almetrics: measuring the influence of the media on the social impact of research,CUADERNOS DE DOCUMENTACION MULTIMEDIA,Spanish,Article,Altmetrics; impact; Evaluation; Quality; Research; Social Networks; bibliometry,2016,27,1,10.5209/rev_cdmu.2016.v27.n1.52870,"ja arevalo, ja cordon-garcia, bm barba","julio alonso arevalo, jose antonio cordon-garcia, bruno maltras barba",almetrics measuring influence media on social impact research,cuadernos de documentacion multimedia,"altmetrics, bibliometry, evaluation, impact, quality, research, social networks"
399,"Reed, K; McFarland, D; Croft, R","Reed, Kathleen; McFarland, Dana; Croft, Rosie",Laying the Groundwork for a New Library Service: Scholar-Practitioner & Graduate Student Attitudes Toward Altmetrics and the Curation of Online Profiles,EVIDENCE BASED LIBRARY AND INFORMATION PRACTICE,English,Article,,2016,11,2,10.18438/b8j047,"k reed, d mcfarland, r croft","kathleen reed, dana mcfarland, rosie croft",laying groundwork for a new library service scholar practitioner graduate student attitudes toward altmetrics curation online profiles,evidence based library and information practice,
400,"Zuccala, A","Zuccala, Alesia",Inciting the metric oriented humanist: Teaching bibliometrics in a faculty of humanities,EDUCATION FOR INFORMATION,English,Article,Pedagogical philosophy; humanistic bibliometrics; research evaluation for the humanities,2016,32,2,10.3233/efi-150969,a zuccala,alesia zuccala,inciting metric oriented humanist teaching bibliometrics in a faculty humanities,education for information,"humanistic bibliometrics, pedagogical philosophy, research evaluation for the humanities"
401,"Biljecki, F","Biljecki, Filip",A scientometric analysis of selected GIScience journals,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,English,Article,Scientometrics; GIScience; bibliometrics; altmetrics; social media,2016,30,7,10.1080/13658816.2015.1130831,f biljecki,filip biljecki,a scientometric analysis selected giscience journals,international journal of geographical information science,"altmetrics, bibliometrics, giscience, scientometrics, social media"
402,"Aguillo, IF","Aguillo, Isidro F.",INFORMETRICS FOR LIBRARIANS: DESCRIBING THEIR IMPORTANT ROLE IN THE EVALUATION PROCESS,PROFESIONAL DE LA INFORMACION,English,Article,Informetrics; Librarians; Scientific evaluation; Relative indicators,2016,25,1,10.3145/epi.2016.ene.01,if aguillo,isidro f. aguillo,informetrics for librarians describing their important role in evaluation process,profesional de la informacion,"informetrics, librarians, relative indicators, scientific evaluation"
403,"Wilson, V","Wilson, Virginia",Research Methods: Altmetrics,EVIDENCE BASED LIBRARY AND INFORMATION PRACTICE,English,Article,,2016,11,1,10.18438/b8vh0p,v wilson,virginia wilson,research methods altmetrics,evidence based library and information practice,
404,"Maflahi, N; Thelwall, M","Maflahi, Nabeil; Thelwall, Mike",When are readership counts as useful as citation counts? Scopus versus Mendeley for LIS journals,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,bibliometrics,2016,67,1,10.1002/asi.23369,"n maflahi, m thelwall","nabeil maflahi, mike thelwall",when are readership counts as useful as citation counts scopus versus mendeley for lis journals,journal of the association for information science and technology,bibliometrics
405,"Haustein, S; Bowman, TD; Holmberg, K; Tsou, A; Sugimoto, CR; Lariviere, V","Haustein, Stefanie; Bowman, Timothy D.; Holmberg, Kim; Tsou, Andrew; Sugimoto, Cassidy R.; Lariviere, Vincent","Tweets as impact indicators: Examining the implications of automated ""bot"" accounts on Twitter",JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,information dissemination; scientometrics; preprints,2016,67,1,10.1002/asi.23456,"s haustein, td bowman, k holmberg, a tsou, cr sugimoto, v lariviere","stefanie haustein, timothy d. bowman, kim holmberg, andrew tsou, cassidy r. sugimoto, vincent lariviere",tweets as impact indicators examining implications automated bot accounts on twitter,journal of the association for information science and technology,"information dissemination, preprints, scientometrics"
