,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
384,dimensions,"kimberly amburgey, etsuko tsuchiya, sabine de chastonay, michael glueck, rachel alverez, cam-tu nguyen, anne rutkowski, joseph hornyak, alan h beggs, james j dowling",a natural history study of x linked myotubular myopathy,A natural history study of X-linked myotubular myopathy,neurology,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services",2017,10.1212/wnl.0000000000004415
385,dimensions,"nicolas robinson-garcia, rodrigo costas, kimberley isett, julia melkers, diana hicks",the unbearable emptiness of tweetingabout journal articles,The unbearable emptiness of tweeting—About journal articles,plos one,"16 studies in human society, 1608 sociology",2017,10.1371/journal.pone.0183551
386,dimensions,bf boyce,an update on the validation of whole slide imaging systems following fda approval of a system for a routine pathology diagnostic service in the united states,An update on the validation of whole slide imaging systems following FDA approval of a system for a routine pathology diagnostic service in the United States,biotechnic histochemistry,"11 medical and health sciences, 1108 medical microbiology",2017,10.1080/10520295.2017.1355476
387,dimensions,"david a. watkins, catherine o. johnson, samantha m. colquhoun, ganesan karthikeyan, andrea beaton, gene bukhman, mohammed h. forouzanfar, christopher t. longenecker, bongani m. mayosi, george a. mensah, bruno r. nascimento, antonio l.p. ribeiro, craig a. sable, andrew c. steer, mohsen naghavi, ali h. mokdad, christopher j.l. murray, theo vos, jonathan r. carapetis, gregory a. roth",global regional and national burden of rheumatic heart disease 19902015,"Global, Regional, and National Burden of Rheumatic Heart Disease, 1990–2015",new england journal of medicine,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1117 public health and health services",2017,10.1056/nejmoa1603693
388,dimensions,"rebecca m garner, joshua a hirsch, felipe c albuquerque, kyle m fargen",bibliometric indices defining academic productivity and citation rates of researchers departments and journals,"Bibliometric indices: defining academic productivity and citation rates of researchers, departments and journals",journal of neurointerventional surgery,"17 psychology and cognitive sciences, 1701 psychology",2018,10.1136/neurintsurg-2017-013265
389,dimensions,"christopher e. knoepke, amanda allen, megan l. ranney, garen j. wintemute, daniel d. matlock, marian e. betz",loaded questions internet commenters opinions on physician patient firearm safety conversations,Loaded Questions: Internet Commenters’ Opinions on Physician-Patient Firearm Safety Conversations,western journal of emergency medicine,"11 medical and health sciences, 1117 public health and health services",2017,10.5811/westjem.2017.6.34849
390,dimensions,"hanna cho, min seok baek, jae yong choi, seung ha lee, joong seok kim, young hoon ryu, myung sik lee, chul hyoung lyoo",18f av 1451 binds to motor related subcortical gray and white matter in corticobasal syndrome,18F-AV-1451 binds to motor-related subcortical gray and white matter in corticobasal syndrome,neurology,"11 medical and health sciences, 1109 neurosciences",2017,10.1212/wnl.0000000000004364
391,dimensions,"lauren a. maggio, holly s. meyer, anthony r. artino",beyond citation rates,Beyond Citation Rates,academic medicine,"13 education, 1302 curriculum and pedagogy",2017,10.1097/acm.0000000000001897
392,dimensions,"mojisola erdt, htet htet aung, ashley sara aw, charlie rapple, yin-leng theng",analysing researchers outreach efforts and the association with publication metrics a case study of kudos,Analysing researchers’ outreach efforts and the association with publication metrics: A case study of Kudos,plos one,"08 information and computing sciences, 0806 information systems",2017,10.1371/journal.pone.0183217
393,dimensions,"othman almutairi, abdulrahman albakr, amro al-habib, abdulrazag ajlan",the top 100 most cited articles on meningioma,The Top-100 Most-Cited Articles on Meningioma,world neurosurgery,"11 medical and health sciences, 1103 clinical sciences, 1109 neurosciences",2017,10.1016/j.wneu.2017.08.021
394,dimensions,"michael l jackson, jessie r chung, lisa a jackson, c hallie phillips, joyce benoit, arnold s monto, emily t martin, edward a belongia, huong q mclean, manjusha gaglani, kempapura murthy, richard zimmerman, mary p nowalk, alicia m fry, brendan flannery",influenza vaccine effectiveness in the united states during the 20152016 season,Influenza Vaccine Effectiveness in the United States during the 2015–2016 Season,new england journal of medicine,"11 medical and health sciences, 1117 public health and health services",2017,10.1056/nejmoa1700153
395,dimensions,"antony j. williams, lou peck, sean ekins",the new alchemy online networking data sharing and research activity distribution tools for scientists,"The new alchemy: Online networking, data sharing and research activity distribution tools for scientists",f1000research,"08 information and computing sciences, 0806 information systems",2017,10.12688/f1000research.12185.1
396,dimensions,"nicola di girolamo, alexandra l. winter",how to report exotic animal research,How to Report Exotic Animal Research,veterinary clinics of north america exotic animal practice,"07 agricultural and veterinary sciences, 0707 veterinary sciences",2017,10.1016/j.cvex.2017.04.010
397,dimensions,"farah naja, hibeh shatila, lokman meho, mohamad alameddine, sally haber, lara nasreddine, abla mehio sibai, nahla hwalla",gaps and opportunities for nutrition research in relation to non communicable diseases in arab countries call for an informed research agenda,Gaps and opportunities for nutrition research in relation to non-communicable diseases in Arab countries: Call for an informed research agenda,nutrition research,"11 medical and health sciences, 1117 public health and health services",2017,10.1016/j.nutres.2017.07.011
398,dimensions,"juan gomez rivas, moises rodriguez socarras, giulio patruno, pieter uvin, francesco esperto, paulo jorge dinis, morgan roupret, hendrik borgmann",perceived role of social media in urologic knowledge acquisition among young urologists a european survey,Perceived Role of Social Media in Urologic Knowledge Acquisition Among Young Urologists: A European Survey,european urology focus,"16 studies in human society, 1608 sociology",2018,10.1016/j.euf.2016.11.010
399,dimensions,"maria nolano, vincenzo provitera, fiore manganelli, rosa iodice, annamaria stancanelli, giuseppe caporaso, annamaria saltalamacchia, francesca califano, bernardo lanzillo, marina picillo, paolo barone, lucio santoro",loss of cutaneous large and small fibers in naive and l dopatreated pd patients,Loss of cutaneous large and small fibers in naive and L-dopa–treated PD patients,neurology,"11 medical and health sciences, 1109 neurosciences",2017,10.1212/wnl.0000000000004274
400,dimensions,"akshay d. baheti, puneet bhargava",altmetrics a measure of social attention toward scientific research,Altmetrics: A Measure of Social Attention toward Scientific Research,current problems in diagnostic radiology,"08 information and computing sciences, 0806 information systems",2017,10.1067/j.cpradiol.2017.06.005
401,dimensions,"k. delli, c. livas, f.k.l. spijkervet, a. vissink",measuring the social impact of dental research an insight into the most influential articles on the web,Measuring the social impact of dental research: An insight into the most influential articles on the Web,oral diseases,"11 medical and health sciences, 1105 dentistry",2017,10.1111/odi.12714
402,dimensions,"zoe a. doubleday, sean d. connell",publishing with objective charisma breaking sciences paradox,Publishing with Objective Charisma: Breaking Science’s Paradox,trends in ecology evolution,"05 environmental sciences, 06 biological sciences",2017,10.1016/j.tree.2017.06.011
403,dimensions,"j p tripathy, a bhatnagar, h d shewade, a m v kumar, r zachariah, a d harries",ten tips to improve the visibility and dissemination of research for policy makers and practitioners,Ten tips to improve the visibility and dissemination of research for policy makers and practitioners,public health action,"11 medical and health sciences, 1117 public health and health services",2017,10.5588/pha.16.0090
404,dimensions,"aysah amath, kristin ambacher, john j leddy, timothy j wood, christopher j ramnanan",comparing alternative and traditional dissemination metrics in medical education,Comparing alternative and traditional dissemination metrics in medical education,medical education,"11 medical and health sciences, 13 education, 17 psychology and cognitive sciences",2017,10.1111/medu.13359
405,dimensions,"annette langer-gould, jessica b smith, kerstin hellwig, edlin gonzales, samantha haraszti, corinna koebnick, anny xiang",breastfeeding ovulatory years and risk of multiple sclerosis,"Breastfeeding, ovulatory years, and risk of multiple sclerosis",neurology,"11 medical and health sciences, 1117 public health and health services",2017,10.1212/wnl.0000000000004207
406,dimensions,"basavaraj patthi, monika prasad, ritu gupta, ashish singla, jishnu krishna kumar, kuldeep dhama, irfan ali, lav kumar niraj",altmetrics a collated adjunct beyond citations for scholarly impact a systematic review,Altmetrics - A Collated Adjunct Beyond Citations for Scholarly Impact: A Systematic Review.,journal of clinical and diagnostic research,"08 information and computing sciences, 0806 information systems",2017,10.7860/jcdr/2017/26153.10078
407,dimensions,"kushwanth koya, gobinda chowdhury",metric based vs peer reviewed evaluation of a research output lesson learnt from uks national research assessment exercise,Metric-based vs peer-reviewed evaluation of a research output: Lesson learnt from UK’s national research assessment exercise,plos one,"14 economics, 1402 applied economics",2017,10.1371/journal.pone.0179722
408,dimensions,"joshua j bear, amy a gelfand, peter j goadsby, nancy bass",occipital headaches and neuroimaging in children,Occipital headaches and neuroimaging in children,neurology,"11 medical and health sciences, 1109 neurosciences",2017,10.1212/wnl.0000000000004186
409,dimensions,"fang hua, cenyu shen, tanya walsh, anne-marie glenny, helen worthington",open access concepts findings and recommendations for stakeholders in dentistry,"Open Access: Concepts, findings, and recommendations for stakeholders in dentistry",journal of dentistry,"11 medical and health sciences, 1117 public health and health services",2017,10.1016/j.jdent.2017.06.012
410,dimensions,"brandon raudenbush, chelsea frost, richard okafor, chongshu chen, xing qui, addisu mesfin",publication rate of podium presentations from the north american spine society annual meetings,Publication Rate of Podium Presentations From the North American Spine Society Annual Meetings,global spine journal,"11 medical and health sciences, 1103 clinical sciences",2018,10.1177/2192568217713732
411,dimensions,"marco schmitt, robert jaschke",what do computer scientists tweet analyzing the link sharing practice on twitter,What do computer scientists tweet? Analyzing the link-sharing practice on Twitter,plos one,"08 information and computing sciences, 0806 information systems",2017,10.1371/journal.pone.0179630
412,dimensions,"sanjai patel, andreas prokop",the manchester fly facility implementing an objective driven long term science communication initiative,The Manchester Fly Facility: Implementing an objective-driven long-term science communication initiative,seminars in cell and developmental biology,"06 biological sciences, 0601 biochemistry and cell biology, 11 medical and health sciences, 1114 paediatrics and reproductive medicine",2017,10.1016/j.semcdb.2017.06.004
413,dimensions,"kevin wong, jacquelyn piraquive, jessica r. levi",social media presence of otolaryngology journals the past present and future,"Social media presence of otolaryngology journals: The past, present, and future",the laryngoscope,"11 medical and health sciences, 1103 clinical sciences",2018,10.1002/lary.26727
414,dimensions,"christos livas, konstantina delli",looking beyond traditional metrics in orthodontics an altmetric study on the most discussed articles on the web,Looking Beyond Traditional Metrics in Orthodontics: An Altmetric Study on the Most Discussed Articles on the Web.,european journal of orthodontics,"11 medical and health sciences, 1105 dentistry",2018,10.1093/ejo/cjx050
415,dimensions,"seunghyun chung, jeunghyuk lee, younsuk lee, ha yeon park, daehwan kim",characteristics of the similarity index in a korean medical journal,Characteristics of the similarity index in a Korean medical journal,korean journal of anesthesiology,"11 medical and health sciences, 1117 public health and health services",2017,10.4097/kjae.2017.70.3.327
416,dimensions,"nathan evaniew, anthony f. adili, michelle ghert, moin khan, kim madden, christopher smith, mohit bhandari",the scholarly influence of orthopaedic research according to conventional and alternative metrics,The Scholarly Influence of Orthopaedic Research According to Conventional and Alternative Metrics,jbjs reviews,"11 medical and health sciences, 1117 public health and health services",2017,10.2106/jbjs.rvw.16.00059
417,dimensions,"romana haneef, philippe ravaud, gabriel baron, lina ghosn, isabelle boutron",factors associated with online media attention to research a cohort study of articles evaluating cancer treatments,Factors associated with online media attention to research: a cohort study of articles evaluating cancer treatments,research integrity and peer review,"11 medical and health sciences, 1117 public health and health services",2017,10.1186/s41073-017-0033-z
418,dimensions,"robin m. featherstone, carly leggett, lisa knisley, mona jabbour, terry p. klassen, shannon d. scott, greg van de mosselaer, lisa hartling",creation of an integrated knowledge translation process to improve pediatric emergency care in canada,Creation of an Integrated Knowledge Translation Process to Improve Pediatric Emergency Care in Canada,health communication,"11 medical and health sciences, 1117 public health and health services",2018,10.1080/10410236.2017.1323538
419,dimensions,karen roush,navigating the publishing process,Navigating the Publishing Process,american journal of nursing,"11 medical and health sciences, 1110 nursing",2017,10.1097/01.naj.0000520256.42212.fc
420,dimensions,"ross j. s. calopedos, cindy garcia, prem rashid, declan g. murphy, nathan lawrentschuk, henry h. woo",citation indices for social media articles in urology,Citation indices for social media articles in urology,bju international,"11 medical and health sciences, 1103 clinical sciences",2017,10.1111/bju.13872
421,dimensions,"j. kolahi, p. iranmanesh, s. khazaei",altmetric analysis of 2015 dental literature a cross sectional survey,Altmetric analysis of 2015 dental literature: a cross sectional survey,british dental journal,"11 medical and health sciences, 1105 dentistry",2017,10.1038/sj.bdj.2017.408
422,dimensions,"kathleen m. jagodnik, simon koplev, sherry l. jenkins, lucila ohno-machado, benedict paten, stephan c. schurer, michel dumontier, ruben verborgh, alex bui, peipei ping, neil j. mckenna, ravi madduri, ajay pillai, avi ma'ayan",developing a framework for digital objects in the big data to knowledge bd2k commons report from the commons framework pilots workshop,Developing a framework for digital objects in the Big Data to Knowledge (BD2K) commons: Report from the Commons Framework Pilots workshop,journal of biomedical informatics,"08 information and computing sciences, 0806 information systems",2017,10.1016/j.jbi.2017.05.006
423,dimensions,tony ross-hellauer,what is open peer review a systematic review,What is open peer review? A systematic review,f1000research,"08 information and computing sciences, 0806 information systems",2017,10.12688/f1000research.11369.1
424,dimensions,"mulin jun li, hongcheng yao, dandan huang, huanhuan liu, zipeng liu, hang xu, yiming qin, jeanette prinz, weiyi xia, panwen wang, bin yan, nhan l. tran, jean-pierre kocher, pak c. sham, junwen wang",mtctscan a comprehensive platform for annotation and prioritization of mutations affecting drug sensitivity in cancers,mTCTScan: a comprehensive platform for annotation and prioritization of mutations affecting drug sensitivity in cancers,nucleic acids research,"06 biological sciences, 0601 biochemistry and cell biology",2017,10.1093/nar/gkx400
425,dimensions,"erin e. michalak, sally mcbride, steven j. barnes, chanel s. wood, nasreen khatri, nusha balram elliott, sagar v. parikh, and the collaborative research team to study psychosocial in bipolar disorder",bipolar disorder research 2 0 web technologies for research capacity and knowledge translation,Bipolar disorder research 2.0: Web technologies for research capacity and knowledge translation,journal of evaluation in clinical practice,"11 medical and health sciences, 1117 public health and health services",2017,10.1111/jep.12736
426,dimensions,"alberto chiesa, teresa fazia, luisa bernardinelli, gabriella morandi",citation patterns and trends of systematic reviews about mindfulness,Citation patterns and trends of systematic reviews about mindfulness,complementary therapies in clinical practice,"11 medical and health sciences, 1117 public health and health services",2017,10.1016/j.ctcp.2017.04.006
427,dimensions,"justin wang, naif m. alotaibi, george m. ibrahim, abhaya v. kulkarni, andres m. lozano",the spectrum of altmetrics in neurosurgery the top 100 trending articles in neurosurgical journals,The Spectrum of Altmetrics in Neurosurgery: The Top 100 “Trending” Articles in Neurosurgical Journals,world neurosurgery,"11 medical and health sciences, 1103 clinical sciences, 1109 neurosciences",2017,10.1016/j.wneu.2017.04.157
428,dimensions,"mariam jamal-hanjani, gareth a. wilson, nicholas mcgranahan, nicolai j. birkbak, thomas b.k. watkins, selvaraju veeriah, seema shafi, diana h. johnson, richard mitter, rachel rosenthal, max salm, stuart horswell, mickael escudero, nik matthews, andrew rowan, tim chambers, david a. moore, samra turajlic, hang xu, siow-ming lee, martin d. forster, tanya ahmad, crispin t. hiley, christopher abbosh, mary falzon, elaine borg, teresa marafioti, david lawrence, martin hayward, shyam kolvekar, nikolaos panagiotopoulos, sam m. janes, ricky thakrar, asia ahmed, fiona blackhall, yvonne summers, rajesh shah, leena joseph, anne m. quinn, phil a. crosbie, babu naidu, gary middleton, gerald langman, simon trotter, marianne nicolson, hardy remmen, keith kerr, mahendran chetty, lesley gomersall, dean a. fennell, apostolos nakas, sridhar rathinam, girija anand, sajid khan, peter russell, veni ezhil, babikir ismail, melanie irvin-sellers, vineet prakash, jason f. lester, malgorzata kornaszewska, richard attanoos, haydn adams, helen davies, stefan dentro, philippe taniere, brendan o'sullivan, helen l. lowe, john a. hartley, natasha iles, harriet bell, yenting ngai, jacqui a. shaw, javier herrero, zoltan szallasi, roland f. schwarz, aengus stewart, sergio a. quezada, john le quesne, peter van loo, caroline dive, allan hackshaw, charles swanton",tracking the evolution of nonsmall cell lung cancer,Tracking the Evolution of Non–Small-Cell Lung Cancer,new england journal of medicine,"11 medical and health sciences, 1112 oncology and carcinogenesis",2017,10.1056/nejmoa1616288
429,dimensions,"f. o'kelly, g.j. nason, r.p. manecksha, s. cascio, f.j. quinn, m. leonard, m.a. koyle, w. farhat, m.j. leveridge",the effect of social media some on journal impact factor and parental awareness in paediatric urology,The effect of social media (#SoMe) on journal impact factor and parental awareness in paediatric urology,journal of pediatric urology,"11 medical and health sciences, 1114 paediatrics and reproductive medicine",2017,10.1016/j.jpurol.2017.03.027
430,dimensions,"wei wang, jin chen, hui-feng sheng, na-na wang, pin yang, xiao-nong zhou, robert bergquist",infectiousdiseases ofpoverty the first five years,"InfectiousDiseases ofPoverty, the first five years",infectious diseases of poverty,"11 medical and health sciences, 1117 public health and health services",2017,10.1186/s40249-017-0310-6
431,dimensions,"d. h. lui, j. j. mcdonald, a. de beaux, b. tulloh, r. r. w. brady",contemporary engagement with social media amongst hernia surgery specialists,Contemporary engagement with social media amongst hernia surgery specialists,hernia,"08 information and computing sciences, 0806 information systems",2017,10.1007/s10029-017-1609-8
432,dimensions,"eabhann m. o'connor, gregory j. nason, fardod o'kelly, rustom p. manecksha, stacy loeb",newsworthiness vs scientific impact are the most highly cited urology papers the most widely disseminated in the media,Newsworthiness vs scientific impact: are the most highly cited urology papers the most widely disseminated in the media?,bju international,"11 medical and health sciences, 1117 public health and health services",2017,10.1111/bju.13881
433,dimensions,"karen c albright, hong zhao, justin blackburn, nita a limdi, t mark beasley, george howard, vera bittner, virginia j howard, paul muntner",racial differences in statin adherence following hospital discharge for ischemic stroke,Racial differences in statin adherence following hospital discharge for ischemic stroke,neurology,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2017,10.1212/wnl.0000000000003910
434,dimensions,"eric s. schwenk, larry f. chu, rajnish k. gupta, edward r. mariano",how social media is changing the practice of regional anesthesiology,How Social Media Is Changing the Practice of Regional Anesthesiology,current anesthesiology reports,"16 studies in human society, 1605 policy and administration",2017,10.1007/s40140-017-0213-x
435,dimensions,"qing ke, yong-yeol ahn, cassidy r. sugimoto",a systematic identification and analysis of scientists on twitter,A systematic identification and analysis of scientists on Twitter,plos one,"08 information and computing sciences, 0806 information systems",2017,10.1371/journal.pone.0175368
436,dimensions,"emilio madrigal, xiaoyin jiang, sinchita roy-chowdhuri",the professional twitter account creation proper maintenance and continuous successful operation,"The professional Twitter account: creation, proper maintenance, and continuous successful operation",diagnostic cytopathology,"11 medical and health sciences, 1103 clinical sciences",2017,10.1002/dc.23710
437,dimensions,"matthew s. mayernik, keith e. maull",assessing the uptake of persistent identifiers by research infrastructure users,Assessing the uptake of persistent identifiers by research infrastructure users,plos one,"08 information and computing sciences, 0803 computer software",2017,10.1371/journal.pone.0175418
438,dimensions,"ronald c. petersen, ronald g. thomas, paul s. aisen, richard c. mohs, maria c. carrillo, marilyn s. albert, ",randomized controlled trials in mild cognitive impairment,Randomized controlled trials in mild cognitive impairment,neurology,"11 medical and health sciences, 1103 clinical sciences",2017,10.1212/wnl.0000000000003907
439,dimensions,"seena fazel, achim wolf",what is the impact of a research publication,What is the impact of a research publication?,evidence based mental health,"11 medical and health sciences, 1117 public health and health services",2017,10.1136/eb-2017-102668
440,dimensions,"kim mears, sandra l bandy",investigating the need for scholarly communications positions in association of academic health sciences libraries member institutions,Investigating the need for scholarly communications positions in Association of Academic Health Sciences Libraries member institutions,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies",2017,10.5195/jmla.2017.208
441,dimensions,"joseph s. butler, i. david kaye, arjun s. sebastian, scott c. wagner, patrick b. morrissey, gregory d. schroeder, christopher k. kepler, alexander r. vaccaro",the evolution of current research impact metrics,The Evolution of Current Research Impact Metrics,clinical spine surgery,"11 medical and health sciences, 1103 clinical sciences",2017,10.1097/bsd.0000000000000531
442,dimensions,thomas w elwood,altmetrics biased metrics and contentious metrics,"Altmetrics, Biased Metrics, and Contentious Metrics.",journal of allied health,"11 medical and health sciences, 1117 public health and health services",2017,
443,dimensions,"dong joon lee, besiki stvilia",practices of research data curation in institutional repositories a qualitative view from repository staff,Practices of research data curation in institutional repositories: A qualitative view from repository staff,plos one,"08 information and computing sciences, 0806 information systems",2017,10.1371/journal.pone.0173987
444,dimensions,"james ravenscroft, maria liakata, amanda clare, daniel duma",measuring scientific impact beyond academia an assessment of existing impact metrics and proposed improvements,Measuring scientific impact beyond academia: An assessment of existing impact metrics and proposed improvements,plos one,"16 studies in human society, 1605 policy and administration",2017,10.1371/journal.pone.0173152
445,dimensions,"james h. cole, jonathan underwood, matthan w.a. caan, davide de francesco, rosan a. van zoest, robert leech, ferdinand w.n.m. wit, peter portegies, gert j. geurtsen, ben a. schmand, maarten f. schim van der loeff, claudio franceschi, caroline a. sabin, charles b.l.m. majoie, alan winston, peter reiss, david j. sharp, j. schouten, k.w. kooij, b.c. elsenga, f.r. janssen, m. heidenrijk, j.h.n. schrijver, w. zikkenheiner, m. van der valk, a. henderiks, n.a. kootstra, a.m. harskamp-holwerda, i. maurer, m.m. mangas ruiz, t. booiman, a.f. girigorie, j. villaudy, e. frankin, a. pasternak, b. berkhout, t. van der kuyl, j.a. ter stege, m. klein twennaar, t. su, e. siteur-van rijnstra, k. weijer, p.h.l.t. bisschop, a. kalsbeek, m. wezel, i. visser, h.g. ruhe, l. tembo, m. stott, k. legg, a. lovell, o. erlwein, n. doyle, p. norsworthy, p. garagnani, c. pirazzini, m. capri, f. dall'olio, m. chiricolo, s. salviol, j. hoeijmakers, j. pothof, d. burger, m. de graaff-teulen, a. burkle, t. sindlinger, m. moreno-villanueva, a. keller, m. prins, m. martens, s. moll, j. berkel, l. moller, g.r. visser, s. zaheri, m.m.j. hillebregt, y.m.c. ruijs, d.p. benschop, m. gisslen, d. fuchs, h. zetterberg, c. libert, s. dewaele, g. guaraldi",increased brain predicted aging in treated hiv disease,Increased brain-predicted aging in treated HIV disease,neurology,"11 medical and health sciences, 1109 neurosciences, 17 psychology and cognitive sciences, 1701 psychology",2017,10.1212/wnl.0000000000003790
446,dimensions,"adam cheng, david kessler, ralph mackinnon, todd p. chang, vinay m. nadkarni, elizabeth a. hunt, jordan duval-arnould, yiqun lin, martin pusic, marc auerbach",conducting multicenter research in healthcare simulation lessons learned from the inspire network,Conducting multicenter research in healthcare simulation: Lessons learned from the INSPIRE network,advances in simulation,"08 information and computing sciences, 0801 artificial intelligence and image processing",2017,10.1186/s41077-017-0039-0
447,dimensions,"danica zeleznik, helena blazun vosner, peter kokol",a bibliometric analysis of the journal of advanced nursing 19762015,"A bibliometric analysis of the Journal of Advanced Nursing, 1976–2015",journal of advanced nursing,"11 medical and health sciences, 1110 nursing",2017,10.1111/jan.13296
448,dimensions,"malika ihle, isabel s winney, anna krystalli, michael croucher",striving for transparent and credible research practical guidelines for behavioral ecologists,Striving for transparent and credible research: practical guidelines for behavioral ecologists,behavioral ecology,"06 biological sciences, 0602 ecology, 0603 evolutionary biology, 0608 zoology",2017,10.1093/beheco/arx003
449,dimensions,"marc s. sabatine, robert p. giugliano, anthony c. keech, narimon honarpour, stephen d. wiviott, sabina a. murphy, julia f. kuder, huei wang, thomas liu, scott m. wasserman, peter s. sever, terje r. pedersen",evolocumab and clinical outcomes in patients with cardiovascular disease,Evolocumab and Clinical Outcomes in Patients with Cardiovascular Disease,new england journal of medicine,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2017,10.1056/nejmoa1615664
450,dimensions,"hilary longhurst, marco cicardi, timothy craig, konrad bork, clive grattan, james baker, huamin h. li, avner reshef, james bonner, jonathan a. bernstein, john anderson, william r. lumry, henriette farkas, constance h. katelaris, gordon l. sussman, joshua jacobs, marc riedl, michael e. manning, jacques hebert, paul k. keith, shmuel kivity, sergio neri, donald s. levy, maria l. baeza, robert nathan, lawrence b. schwartz, teresa caballero, william yang, ioana crisan, maria d. hernandez, iftikhar hussain, michael tarzi, bruce ritchie, pavlina kralickova, mar guilarte, syed m. rehman, aleena banerji, richard g. gower, debra bensen-kennedy, jonathan edelman, henrike feuersenger, john-philip lawo, thomas machnig, dipti pawaskar, ingo pragst, bruce l. zuraw",prevention of hereditary angioedema attacks with a subcutaneous c1 inhibitor,Prevention of Hereditary Angioedema Attacks with a Subcutaneous C1 Inhibitor,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2017,10.1056/nejmoa1613627
451,dimensions,"andreas hochhaus, richard a larson, francois guilhot, jerald p radich, susan branford, timothy p hughes, michele baccarani, michael w deininger, francisco cervantes, satoko fujihara, christine-elke ortmann, hans d menssen, hagop kantarjian, stephen g o'brien, brian j druker",long term outcomes of imatinib treatment for chronic myeloid leukemia,Long-Term Outcomes of Imatinib Treatment for Chronic Myeloid Leukemia,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2017,10.1056/nejmoa1609324
452,dimensions,"c. matthew hawkins, makeba hunter, giselle e. kolenic, ruth c. carlos",social media and peer reviewed medical journal readership a randomized prospective controlled trial,Social Media and Peer-Reviewed Medical Journal Readership: A Randomized Prospective Controlled Trial,journal of the american college of radiology,"11 medical and health sciences, 1117 public health and health services",2017,10.1016/j.jacr.2016.12.024
453,dimensions,"andrew b. rosenkrantz, abimbola ayoola, kush singh, richard duszak",alternative metrics altmetrics for assessing article impact in popular general radiology journals,Alternative Metrics (“Altmetrics”) for Assessing Article Impact in Popular General Radiology Journals,academic radiology,"11 medical and health sciences, 1103 clinical sciences",2017,10.1016/j.acra.2016.11.019
454,dimensions,negin salimi,quality assessment of scientific outputs using the bwm,Quality assessment of scientific outputs using the BWM,scientometrics,"08 information and computing sciences, 0807 library and information studies, 16 studies in human society, 1605 policy and administration",2017,10.1007/s11192-017-2284-3
455,dimensions,"aleena banerji, paula busse, mustafa shennak, william lumry, mark davis-lorton, henry j wedner, joshua jacobs, james baker, jonathan a bernstein, richard lockey, h henry li, timothy craig, marco cicardi, marc riedl, ahmad al-ghazawi, carolyn soo, ryan iarrobino, daniel j sexton, christopher tenhoor, jon a kenniston, ryan faucette, j gordon still, harvey kushner, robert mensah, chris stevens, joseph c biedenkapp, yung chyung, burt adelman",inhibiting plasma kallikrein for hereditary angioedema prophylaxis,Inhibiting Plasma Kallikrein for Hereditary Angioedema Prophylaxis,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2017,10.1056/nejmoa1605767
456,dimensions,"marianna spatola, mar petit-pedrol, mateus mistieri simabukuro, thais armangue, fernanda j castro, maria i barcelo artigues, maria r julia benique, leslie benson, mark gorman, ana felipe, ruben l caparo oblitas, myrna r rosenfeld, francesc graus, josep dalmau",investigations in gabaa receptor antibody associated encephalitis,Investigations in GABAA receptor antibody-associated encephalitis,neurology,"11 medical and health sciences, 1103 clinical sciences, 1109 neurosciences",2017,10.1212/wnl.0000000000003713
457,dimensions,"rui araujo, aaron a sorensen, stacy konkiel, bastiaan r bloem",top altmetric scores in the parkinsons disease literature,Top Altmetric Scores in the Parkinson’s Disease Literature,journal of parkinsons disease,"11 medical and health sciences, 1109 neurosciences",2017,10.3233/jpd-179000
458,dimensions,"weichun yang, he shi, jianfen zhang, ziyi shen, guangyu zhou, minyu hu",effects of the duration of hyperlipidemia on cerebral lipids vessels and neurons in rats,"Effects of the duration of hyperlipidemia on cerebral lipids, vessels and neurons in rats",lipids in health and disease,"11 medical and health sciences, 1109 neurosciences",2017,10.1186/s12944-016-0401-6
459,dimensions,"lei yu, michael w lutz, robert s wilson, daniel k burns, allen d roses, ann m saunders, chris gaiteri, philip l de jager, lisa l barnes, david a bennett",tomm40523 variant and cognitive decline in older persons with apoe egr 3 3 genotype,TOMM40′523 variant and cognitive decline in older persons with APOE &egr;3/3 genotype,neurology,"11 medical and health sciences, 1103 clinical sciences, 17 psychology and cognitive sciences, 1701 psychology",2017,10.1212/wnl.0000000000003614
460,dimensions,"lilian hoffecker, dana abbey",from english to chinese japanese and russian extending research visibility with language translations of a conference slide presentation,"From English to Chinese, Japanese, and Russian: extending research visibility with language translations of a conference slide presentation",journal of the medical library association,"08 information and computing sciences, 0807 library and information studies",2017,10.5195/jmla.2017.106
